Tarih,Oda Numarası,Oda Tipi,Personel ID,Temizlik Türü,Giriş Saati,Çıkış Saati
2024-01-01,1603,Lüx Suit,M030,Mini Bar,11:49,11:55
2024-01-01,1701,Lüx Suit,P083,Rutin,08:26,08:37
2024-01-01,1701,Lüx Suit,M031,Mini Bar,10:20,10:25
2024-01-01,1812,Lüx Suit,P090,Rutin,09:07,09:24
2024-01-01,1812,Lüx Suit,M032,Mini Bar,11:13,11:18
2024-01-02,155,Standart,P002,Rutin,09:40,09:48
2024-01-02,155,Standart,M001,Mini Bar,11:16,11:20
2024-01-02,151,Standart,P004,Rutin,10:47,10:53
2024-01-02,151,Standart,M001,Mini Bar,11:25,11:30
2024-01-02,132,Standart,P005,Rutin,10:49,10:54
2024-01-02,132,Standart,M002,Mini Bar,11:44,11:49
2024-01-02,116,Standart,P002,Rutin,09:53,10:04
2024-01-02,116,Standart,M002,Mini Bar,11:58,12:02
2024-01-02,102,Standart,P002,Rutin,10:39,10:50
2024-01-02,102,Standart,M002,Mini Bar,12:07,12:11
2024-01-02,126,Standart,P002,Rutin,10:55,11:10
2024-01-02,126,Standart,M002,Mini Bar,12:16,12:22
2024-01-02,243,Standart,P010,Rutin,10:18,10:32
2024-01-02,243,Standart,M004,Mini Bar,10:44,10:50
2024-01-02,219,Standart,P008,Rutin,11:11,11:22
2024-01-02,219,Standart,M003,Mini Bar,11:46,11:51
2024-01-02,254,Standart,P010,Rutin,10:37,10:56
2024-01-02,254,Standart,M003,Mini Bar,11:56,12:00
2024-01-02,257,Standart,P009,Rutin,08:50,08:55
2024-01-02,257,Standart,M004,Mini Bar,10:55,10:58
2024-01-02,206,Standart,P008,Rutin,11:27,11:31
2024-01-02,206,Standart,M004,Mini Bar,11:25,11:29
2024-01-02,213,Standart,P007,Rutin,10:44,10:54
2024-01-02,213,Standart,M003,Mini Bar,12:05,12:11
2024-01-02,367,Standart,P015,Rutin,08:24,08:33
2024-01-02,367,Standart,M006,Mini Bar,11:11,11:14
2024-01-02,320,Standart,P015,Rutin,10:16,10:20
2024-01-02,320,Standart,M006,Mini Bar,11:19,11:24
2024-01-02,365,Standart,P014,Rutin,10:29,10:33
2024-01-02,365,Standart,M005,Mini Bar,10:55,10:58
2024-01-02,369,Standart,P015,Rutin,10:25,10:28
2024-01-02,369,Standart,M005,Mini Bar,11:40,11:43
2024-01-02,301,Standart,P013,Rutin,09:47,10:01
2024-01-02,301,Standart,M006,Mini Bar,11:41,11:46
2024-01-02,360,Standart,P013,Rutin,10:06,10:22
2024-01-02,360,Standart,M006,Mini Bar,11:51,11:55
2024-01-02,428,Standart,P016,Rutin,09:18,09:36
2024-01-02,428,Standart,M007,Mini Bar,11:50,11:55
2024-01-02,404,Standart,P019,Rutin,09:42,09:51
2024-01-02,404,Standart,M007,Mini Bar,12:00,12:05
2024-01-02,437,Standart,P017,Rutin,10:57,11:12
2024-01-02,437,Standart,M007,Mini Bar,12:10,12:16
2024-01-02,463,Standart,P020,Rutin,09:42,09:48
2024-01-02,463,Standart,M008,Mini Bar,09:45,09:48
2024-01-02,457,Standart,P017,Rutin,11:17,11:36
2024-01-02,457,Standart,M007,Mini Bar,12:21,12:24
2024-01-02,431,Standart,P017,Rutin,11:41,11:58
2024-01-02,431,Standart,M007,Mini Bar,12:29,12:33
2024-01-02,506,Standart,P025,Rutin,10:46,10:51
2024-01-02,506,Standart,M010,Mini Bar,10:56,11:02
2024-01-02,553,Standart,P022,Rutin,10:35,10:42
2024-01-02,553,Standart,M009,Mini Bar,09:51,09:57
2024-01-02,544,Standart,P022,Rutin,10:47,11:02
2024-01-02,544,Standart,M009,Mini Bar,11:36,11:41
2024-01-02,539,Standart,P025,Rutin,10:56,11:01
2024-01-02,539,Standart,M010,Mini Bar,11:20,11:24
2024-01-02,538,Standart,P023,Rutin,10:12,10:25
2024-01-02,538,Standart,M010,Mini Bar,11:29,11:34
2024-01-02,565,Standart,P022,Rutin,11:07,11:21
2024-01-02,565,Standart,M010,Mini Bar,11:39,11:42
2024-01-02,604,Standart,P030,Rutin,10:51,10:58
2024-01-02,604,Standart,M011,Mini Bar,11:18,11:23
2024-01-02,661,Standart,P026,Rutin,10:19,10:32
2024-01-02,661,Standart,M011,Mini Bar,11:28,11:34
2024-01-02,655,Standart,P026,Rutin,10:37,10:41
2024-01-02,655,Standart,M011,Mini Bar,11:39,11:43
2024-01-02,613,Standart,P030,Rutin,11:03,11:08
2024-01-02,613,Standart,M011,Mini Bar,11:48,11:51
2024-01-02,635,Standart,P026,Rutin,10:46,11:00
2024-01-02,635,Standart,M011,Mini Bar,11:56,12:02
2024-01-02,630,Standart,P028,Rutin,10:48,10:59
2024-01-02,630,Standart,M011,Mini Bar,12:07,12:13
2024-01-02,715,Standart,P034,Rutin,08:57,09:02
2024-01-02,715,Standart,M014,Mini Bar,10:32,10:38
2024-01-02,731,Standart,P032,Rutin,10:29,10:38
2024-01-02,731,Standart,M013,Mini Bar,11:35,11:41
2024-01-02,729,Standart,P033,Rutin,10:54,11:04
2024-01-02,729,Standart,M013,Mini Bar,11:46,11:52
2024-01-02,713,Standart,P033,Rutin,11:09,11:16
2024-01-02,713,Standart,M014,Mini Bar,10:43,10:46
2024-01-02,741,Standart,P032,Rutin,10:43,11:02
2024-01-02,741,Standart,M013,Mini Bar,11:57,12:03
2024-01-02,762,Standart,P031,Rutin,08:07,08:17
2024-01-02,762,Standart,M013,Mini Bar,12:08,12:11
2024-01-02,869,Standart,P038,Rutin,10:32,10:37
2024-01-02,869,Standart,M015,Mini Bar,10:05,10:11
2024-01-02,860,Standart,P039,Rutin,10:47,11:04
2024-01-02,860,Standart,M015,Mini Bar,10:16,10:21
2024-01-02,859,Standart,P037,Rutin,10:20,10:33
2024-01-02,859,Standart,M015,Mini Bar,10:26,10:29
2024-01-02,814,Standart,P036,Rutin,08:12,08:16
2024-01-02,814,Standart,M015,Mini Bar,10:42,10:47
2024-01-02,847,Standart,P040,Rutin,10:42,10:56
2024-01-02,847,Standart,M016,Mini Bar,11:08,11:12
2024-01-02,818,Standart,P040,Rutin,11:01,11:13
2024-01-02,818,Standart,M016,Mini Bar,11:42,11:45
2024-01-02,913,Standart,P042,Rutin,10:16,10:23
2024-01-02,913,Standart,M017,Mini Bar,11:18,11:23
2024-01-02,903,Standart,P042,Rutin,10:28,10:46
2024-01-02,903,Standart,M017,Mini Bar,11:28,11:32
2024-01-02,902,Standart,P042,Rutin,10:51,10:59
2024-01-02,902,Standart,M017,Mini Bar,11:37,11:43
2024-01-02,925,Standart,P044,Rutin,08:03,08:08
2024-01-02,925,Standart,M017,Mini Bar,11:48,11:53
2024-01-02,930,Standart,P044,Rutin,09:27,09:41
2024-01-02,930,Standart,M017,Mini Bar,11:58,12:02
2024-01-02,916,Standart,P044,Rutin,09:46,10:00
2024-01-02,916,Standart,M017,Mini Bar,12:07,12:12
2024-01-02,1015,Standart,P050,Rutin,08:29,08:43
2024-01-02,1015,Standart,M020,Mini Bar,11:51,11:54
2024-01-02,1057,Standart,P046,Rutin,08:04,08:15
2024-01-02,1057,Standart,M020,Mini Bar,11:59,12:04
2024-01-02,1043,Standart,P049,Rutin,10:28,10:37
2024-01-02,1043,Standart,M020,Mini Bar,12:09,12:12
2024-01-02,1033,Standart,P050,Rutin,09:05,09:12
2024-01-02,1033,Standart,M019,Mini Bar,09:24,09:30
2024-01-02,1023,Standart,P050,Rutin,10:47,11:02
2024-01-02,1023,Standart,M020,Mini Bar,12:17,12:20
2024-01-02,1017,Standart,P050,Rutin,11:07,11:14
2024-01-02,1017,Standart,M019,Mini Bar,11:44,11:48
2024-01-02,1126,Suit,P051,Rutin,08:41,08:50
2024-01-02,1126,Suit,M021,Mini Bar,11:29,11:34
2024-01-02,1112,Suit,P054,Rutin,08:39,08:51
2024-01-02,1112,Suit,M021,Mini Bar,11:48,11:51
2024-01-02,1142,Suit,P052,Rutin,08:41,09:00
2024-01-02,1142,Suit,M022,Mini Bar,11:38,11:41
2024-01-02,1108,Suit,P051,Rutin,10:26,10:36
2024-01-02,1108,Suit,M022,Mini Bar,11:46,11:52
2024-01-02,1234,Suit,P059,Rutin,10:51,11:06
2024-01-02,1234,Suit,M024,Mini Bar,11:50,11:53
2024-01-02,1202,Suit,P059,Rutin,11:11,11:22
2024-01-02,1202,Suit,M024,Mini Bar,11:58,12:01
2024-01-02,1204,Suit,P058,Rutin,10:27,10:40
2024-01-02,1204,Suit,M023,Mini Bar,10:07,10:13
2024-01-02,1241,Suit,P059,Rutin,11:27,11:44
2024-01-02,1241,Suit,M023,Mini Bar,10:19,10:24
2024-01-02,1328,Suit,P061,Rutin,10:32,10:44
2024-01-02,1328,Suit,M025,Mini Bar,10:31,10:34
2024-01-02,1318,Suit,P065,Rutin,08:44,08:54
2024-01-02,1318,Suit,M026,Mini Bar,11:48,11:54
2024-01-02,1344,Suit,P062,Rutin,10:06,10:20
2024-01-02,1344,Suit,M025,Mini Bar,11:47,11:50
2024-01-02,1335,Suit,P064,Rutin,08:19,08:31
2024-01-02,1335,Suit,M026,Mini Bar,11:59,12:04
2024-01-02,1438,Suit,P067,Rutin,10:52,11:03
2024-01-02,1438,Suit,M028,Mini Bar,09:22,09:26
2024-01-02,1436,Suit,P067,Rutin,11:08,11:20
2024-01-02,1436,Suit,M028,Mini Bar,10:12,10:18
2024-01-02,1403,Suit,P066,Rutin,08:59,09:07
2024-01-02,1403,Suit,M027,Mini Bar,11:48,11:54
2024-01-02,1425,Suit,P068,Rutin,10:10,10:20
2024-01-02,1425,Suit,M027,Mini Bar,11:59,12:04
2024-01-02,1524,Lüx Suit,P073,Rutin,08:46,09:03
2024-01-02,1524,Lüx Suit,M029,Mini Bar,11:52,11:58
2024-01-02,1515,Lüx Suit,P075,Rutin,09:24,09:45
2024-01-02,1515,Lüx Suit,M029,Mini Bar,12:03,12:09
2024-01-02,1614,Lüx Suit,P076,Rutin,08:16,08:38
2024-01-02,1614,Lüx Suit,M030,Mini Bar,12:00,12:05
2024-01-02,1610,Lüx Suit,P077,Rutin,08:09,08:22
2024-01-02,1610,Lüx Suit,M030,Mini Bar,12:10,12:16
2024-01-02,1720,Lüx Suit,P082,Rutin,09:06,09:25
2024-01-02,1720,Lüx Suit,M031,Mini Bar,11:58,12:04
2024-01-02,1703,Lüx Suit,P081,Rutin,10:13,10:29
2024-01-02,1703,Lüx Suit,M031,Mini Bar,12:09,12:13
2024-01-02,1814,Lüx Suit,P090,Rutin,09:29,09:48
2024-01-02,1814,Lüx Suit,M032,Mini Bar,11:23,11:29
2024-01-02,1813,Lüx Suit,P086,Rutin,09:25,09:33
2024-01-02,1813,Lüx Suit,M032,Mini Bar,11:34,11:39
2024-01-03,161,Standart,P002,Rutin,11:15,11:29
2024-01-03,161,Standart,M001,Mini Bar,11:35,11:39
2024-01-03,123,Standart,P003,Rutin,10:57,11:01
2024-01-03,123,Standart,M002,Mini Bar,12:27,12:32
2024-01-03,167,Standart,P005,Rutin,10:59,11:08
2024-01-03,167,Standart,M001,Mini Bar,11:44,11:49
2024-01-03,135,Standart,P002,Rutin,11:34,11:46
2024-01-03,135,Standart,M001,Mini Bar,11:54,11:58
2024-01-03,255,Standart,P009,Rutin,09:00,09:13
2024-01-03,255,Standart,M004,Mini Bar,11:34,11:40
2024-01-03,237,Standart,P009,Rutin,10:21,10:29
2024-01-03,237,Standart,M003,Mini Bar,12:16,12:20
2024-01-03,258,Standart,P007,Rutin,10:59,11:05
2024-01-03,258,Standart,M004,Mini Bar,11:45,11:48
2024-01-03,249,Standart,P010,Rutin,11:01,11:20
2024-01-03,249,Standart,M004,Mini Bar,11:53,11:57
2024-01-03,324,Standart,P015,Rutin,10:33,10:39
2024-01-03,324,Standart,M005,Mini Bar,11:48,11:54
2024-01-03,356,Standart,P012,Rutin,09:12,09:17
2024-01-03,356,Standart,M006,Mini Bar,12:00,12:04
2024-01-03,333,Standart,P014,Rutin,10:38,10:50
2024-01-03,333,Standart,M006,Mini Bar,12:09,12:12
2024-01-03,344,Standart,P015,Rutin,10:43,10:53
2024-01-03,344,Standart,M006,Mini Bar,12:17,12:22
2024-01-03,408,Standart,P017,Rutin,12:03,12:22
2024-01-03,408,Standart,M007,Mini Bar,12:38,12:44
2024-01-03,442,Standart,P016,Rutin,09:41,09:49
2024-01-03,442,Standart,M008,Mini Bar,11:44,11:49
2024-01-03,419,Standart,P019,Rutin,09:56,10:06
2024-01-03,419,Standart,M008,Mini Bar,11:54,12:00
2024-01-03,456,Standart,P017,Rutin,12:27,12:35
2024-01-03,456,Standart,M008,Mini Bar,12:05,12:09
2024-01-03,554,Standart,P023,Rutin,10:30,10:38
2024-01-03,554,Standart,M009,Mini Bar,11:41,11:47
2024-01-03,527,Standart,P022,Rutin,11:26,11:38
2024-01-03,527,Standart,M010,Mini Bar,11:47,11:53
2024-01-03,544,Standart,P025,Rutin,11:06,11:12
2024-01-03,544,Standart,M009,Mini Bar,11:52,11:55
2024-01-03,512,Standart,P022,Rutin,11:43,12:01
2024-01-03,512,Standart,M010,Mini Bar,11:58,12:01
2024-01-03,651,Standart,P030,Rutin,11:13,11:17
2024-01-03,651,Standart,M012,Mini Bar,11:54,11:58
2024-01-03,658,Standart,P030,Rutin,11:22,11:29
2024-01-03,658,Standart,M011,Mini Bar,12:18,12:24
2024-01-03,662,Standart,P027,Rutin,11:08,11:17
2024-01-03,662,Standart,M012,Mini Bar,12:03,12:08
2024-01-03,623,Standart,P030,Rutin,11:34,11:44
2024-01-03,623,Standart,M011,Mini Bar,12:29,12:33
2024-01-03,720,Standart,P033,Rutin,11:21,11:29
2024-01-03,720,Standart,M013,Mini Bar,12:16,12:22
2024-01-03,719,Standart,P035,Rutin,10:47,11:05
2024-01-03,719,Standart,M013,Mini Bar,12:27,12:30
2024-01-03,752,Standart,P033,Rutin,11:34,11:39
2024-01-03,752,Standart,M013,Mini Bar,12:35,12:39
2024-01-03,745,Standart,P031,Rutin,08:17,08:26
2024-01-03,745,Standart,M014,Mini Bar,10:51,10:56
2024-01-03,857,Standart,P039,Rutin,11:09,11:14
2024-01-03,857,Standart,M015,Mini Bar,10:52,10:55
2024-01-03,822,Standart,P038,Rutin,10:42,10:53
2024-01-03,822,Standart,M015,Mini Bar,11:00,11:04
2024-01-03,832,Standart,P037,Rutin,10:38,10:51
2024-01-03,832,Standart,M016,Mini Bar,11:50,11:55
2024-01-03,845,Standart,P036,Rutin,08:37,08:45
2024-01-03,845,Standart,M015,Mini Bar,11:17,11:22
2024-01-03,909,Standart,P041,Rutin,10:27,10:33
2024-01-03,909,Standart,M018,Mini Bar,10:59,11:04
2024-01-03,960,Standart,P045,Rutin,10:17,10:32
2024-01-03,960,Standart,M018,Mini Bar,11:09,11:13
2024-01-03,919,Standart,P044,Rutin,10:06,10:12
2024-01-03,919,Standart,M018,Mini Bar,11:18,11:22
2024-01-03,968,Standart,P041,Rutin,10:50,11:02
2024-01-03,968,Standart,M017,Mini Bar,12:17,12:20
2024-01-03,1046,Standart,P046,Rutin,09:26,09:43
2024-01-03,1046,Standart,M019,Mini Bar,11:53,11:59
2024-01-03,1030,Standart,P049,Rutin,10:42,10:49
2024-01-03,1030,Standart,M020,Mini Bar,12:25,12:28
2024-01-03,1010,Standart,P049,Rutin,10:54,11:03
2024-01-03,1010,Standart,M020,Mini Bar,12:33,12:36
2024-01-03,1050,Standart,P049,Rutin,11:08,11:17
2024-01-03,1050,Standart,M020,Mini Bar,12:41,12:46
2024-01-03,1112,Suit,P051,Rutin,10:41,10:51
2024-01-03,1112,Suit,M022,Mini Bar,11:57,12:00
2024-01-03,1136,Suit,P052,Rutin,09:05,09:17
2024-01-03,1136,Suit,M021,Mini Bar,11:56,12:02
2024-01-03,1130,Suit,P052,Rutin,09:56,10:10
2024-01-03,1130,Suit,M022,Mini Bar,12:05,12:11
2024-01-03,1239,Suit,P060,Rutin,10:17,10:29
2024-01-03,1239,Suit,M024,Mini Bar,12:06,12:12
2024-01-03,1206,Suit,P056,Rutin,09:15,09:25
2024-01-03,1206,Suit,M023,Mini Bar,11:15,11:18
2024-01-03,1247,Suit,P056,Rutin,10:29,10:40
2024-01-03,1247,Suit,M023,Mini Bar,11:23,11:29
2024-01-03,1329,Suit,P063,Rutin,10:43,10:57
2024-01-03,1329,Suit,M026,Mini Bar,12:09,12:13
2024-01-03,1319,Suit,P061,Rutin,10:47,10:58
2024-01-03,1319,Suit,M026,Mini Bar,12:18,12:21
2024-01-03,1301,Suit,P065,Rutin,10:24,10:30
2024-01-03,1301,Suit,M025,Mini Bar,11:55,12:00
2024-01-03,1426,Suit,P069,Rutin,08:40,08:50
2024-01-03,1426,Suit,M027,Mini Bar,12:09,12:12
2024-01-03,1448,Suit,P070,Rutin,10:50,11:01
2024-01-03,1448,Suit,M028,Mini Bar,10:23,10:27
2024-01-03,1433,Suit,P066,Rutin,09:12,09:21
2024-01-03,1433,Suit,M028,Mini Bar,10:32,10:35
2024-01-03,1524,Lüx Suit,P073,Rutin,09:08,09:29
2024-01-03,1524,Lüx Suit,M029,Mini Bar,12:14,12:20
2024-01-03,1605,Lüx Suit,P078,Rutin,09:52,10:08
2024-01-03,1605,Lüx Suit,M030,Mini Bar,12:21,12:25
2024-01-03,1701,Lüx Suit,P085,Detaylı,08:43,09:30
2024-01-03,1701,Lüx Suit,M031,Mini Bar,12:18,12:22
2024-01-03,1819,Lüx Suit,P090,Rutin,09:53,10:11
2024-01-03,1819,Lüx Suit,M032,Mini Bar,11:44,11:49
2024-01-04,147,Standart,P005,Rutin,11:13,11:27
2024-01-04,147,Standart,M001,Mini Bar,12:03,12:07
2024-01-04,148,Standart,P004,Rutin,10:58,11:14
2024-01-04,148,Standart,M002,Mini Bar,12:37,12:41
2024-01-04,164,Standart,P002,Rutin,11:51,12:10
2024-01-04,164,Standart,M002,Mini Bar,12:46,12:51
2024-01-04,169,Standart,P003,Rutin,11:06,11:17
2024-01-04,169,Standart,M001,Mini Bar,12:12,12:15
2024-01-04,152,Standart,P003,Rutin,11:22,11:29
2024-01-04,152,Standart,M002,Mini Bar,12:56,12:59
2024-01-04,153,Standart,P004,Rutin,11:19,11:37
2024-01-04,153,Standart,M001,Mini Bar,12:20,12:26
2024-01-04,253,Standart,P009,Rutin,10:34,10:42
2024-01-04,253,Standart,M003,Mini Bar,12:25,12:30
2024-01-04,270,Standart,P010,Rutin,11:25,11:39
2024-01-04,270,Standart,M004,Mini Bar,12:02,12:07
2024-01-04,270,Standart,A001,Arıza,17:31,17:41
2024-01-04,228,Standart,P008,Rutin,11:36,11:45
2024-01-04,228,Standart,M003,Mini Bar,12:35,12:39
2024-01-04,260,Standart,P007,Rutin,11:10,11:22
2024-01-04,260,Standart,M003,Mini Bar,12:44,12:47
2024-01-04,225,Standart,P008,Rutin,11:50,12:00
2024-01-04,225,Standart,M004,Mini Bar,12:12,12:18
2024-01-04,219,Standart,P007,Rutin,11:27,11:32
2024-01-04,219,Standart,M004,Mini Bar,12:23,12:27
2024-01-04,366,Standart,P011,Rutin,10:04,10:13
2024-01-04,366,Standart,M006,Mini Bar,12:27,12:31
2024-01-04,365,Standart,P013,Rutin,10:27,10:39
2024-01-04,365,Standart,M005,Mini Bar,11:57,12:03
2024-01-04,338,Standart,P011,Rutin,10:18,10:32
2024-01-04,338,Standart,M005,Mini Bar,12:08,12:14
2024-01-04,344,Standart,P011,Rutin,10:44,10:51
2024-01-04,344,Standart,M005,Mini Bar,12:19,12:24
2024-01-04,308,Standart,P012,Rutin,09:22,09:34
2024-01-04,308,Standart,M005,Mini Bar,12:29,12:32
2024-01-04,368,Standart,P015,Rutin,10:58,11:02
2024-01-04,368,Standart,M005,Mini Bar,12:37,12:41
2024-01-04,451,Standart,P016,Rutin,09:54,10:10
2024-01-04,451,Standart,M007,Mini Bar,12:49,12:55
2024-01-04,427,Standart,P019,Rutin,10:56,11:07
2024-01-04,427,Standart,M007,Mini Bar,13:00,13:04
2024-01-04,433,Standart,P018,Rutin,09:31,09:48
2024-01-04,433,Standart,M008,Mini Bar,12:14,12:19
2024-01-04,405,Standart,P018,Rutin,09:53,10:09
2024-01-04,405,Standart,M007,Mini Bar,13:09,13:14
2024-01-04,467,Standart,P016,Rutin,10:15,10:27
2024-01-04,467,Standart,M008,Mini Bar,12:24,12:28
2024-01-04,408,Standart,P019,Rutin,11:12,11:23
2024-01-04,408,Standart,M008,Mini Bar,12:33,12:39
2024-01-04,546,Standart,P025,Rutin,11:17,11:29
2024-01-04,546,Standart,M009,Mini Bar,12:00,12:06
2024-01-04,557,Standart,P023,Rutin,10:43,10:54
2024-01-04,557,Standart,M010,Mini Bar,12:06,12:09
2024-01-04,570,Standart,P022,Rutin,12:06,12:15
2024-01-04,570,Standart,M010,Mini Bar,12:14,12:20
2024-01-04,561,Standart,P023,Rutin,10:59,11:13
2024-01-04,561,Standart,M009,Mini Bar,12:11,12:16
2024-01-04,524,Standart,P021,Rutin,09:53,09:59
2024-01-04,524,Standart,M010,Mini Bar,12:25,12:31
2024-01-04,533,Standart,P022,Rutin,12:20,12:38
2024-01-04,533,Standart,M010,Mini Bar,12:36,12:39
2024-01-04,654,Standart,P026,Rutin,11:05,11:17
2024-01-04,654,Standart,M012,Mini Bar,12:13,12:19
2024-01-04,603,Standart,P029,Rutin,08:47,08:57
2024-01-04,603,Standart,M012,Mini Bar,12:24,12:29
2024-01-04,638,Standart,P027,Rutin,11:22,11:29
2024-01-04,638,Standart,M012,Mini Bar,12:34,12:40
2024-01-04,648,Standart,P026,Rutin,11:22,11:28
2024-01-04,648,Standart,M012,Mini Bar,12:45,12:51
2024-01-04,664,Standart,P027,Rutin,11:34,11:38
2024-01-04,664,Standart,M012,Mini Bar,12:56,13:00
2024-01-04,640,Standart,P028,Rutin,11:04,11:15
2024-01-04,640,Standart,M012,Mini Bar,13:05,13:09
2024-01-04,760,Standart,P033,Rutin,11:44,11:53
2024-01-04,760,Standart,M014,Mini Bar,11:16,11:19
2024-01-04,770,Standart,P033,Rutin,11:58,12:07
2024-01-04,770,Standart,M013,Mini Bar,12:44,12:47
2024-01-04,755,Standart,P031,Rutin,09:09,09:22
2024-01-04,755,Standart,M014,Mini Bar,11:24,11:30
2024-01-04,714,Standart,P035,Rutin,11:10,11:22
2024-01-04,714,Standart,M014,Mini Bar,11:35,11:40
2024-01-04,712,Standart,P033,Rutin,12:12,12:24
2024-01-04,712,Standart,M013,Mini Bar,12:52,12:56
2024-01-04,745,Standart,P035,Rutin,11:27,11:42
2024-01-04,745,Standart,M013,Mini Bar,13:01,13:05
2024-01-04,848,Standart,P039,Rutin,11:19,11:28
2024-01-04,848,Standart,M015,Mini Bar,11:27,11:33
2024-01-04,831,Standart,P037,Rutin,10:56,11:10
2024-01-04,831,Standart,M016,Mini Bar,11:57,12:01
2024-01-04,807,Standart,P038,Rutin,10:58,11:15
